id,country,consumption_pork,co2_pork,consumption_poultry,co2_poultry,consumption_beef,co2_beef,consumption_lambgoat,co2_lambgoat,consumption_fish,co2_fish,consumption_eggs,co2_eggs,consumption_milkcheese,co2_milkcheese,consumption_wheat,co2_wheat,consumption_rice,co2_rice,consumption_soybeans,co2_soybeans,consumption_nuts,co2_nuts,GDP.PPP.2013,co2_meat,co2_nonmeat
27,Costa Rica,10.28,36.39,24.47,26.29,15.23,469.97,0.02,0.7,11.32,18.07,10.55,9.69,183.28,261.06,39.31,7.5,45.69,58.47,1.54,0.69,1.38,2.44,10490.0813,551.42,339.85
28,Croatia,42.79,151.46,8.52,9.15,12.41,382.95,1.71,59.88,15.83,25.28,8.48,7.79,231.02,329.06,106.59,20.33,2.64,3.38,0,0,3.88,6.87,13642.1978,628.72,367.43
29,Cuba,19.82,70.15,20.15,21.65,6.39,197.18,1.24,43.42,4.76,7.6,9.82,9.02,99.94,142.35,54.62,10.42,67.7,86.64,6.34,2.85,0.23,0.41,6837.71289,340,251.69
30,Cyprus,38.38,135.85,24.45,26.26,5.79,178.67,5.05,176.85,14.86,23.73,8.98,8.25,113.31,161.4,83.25,15.88,4.94,6.32,0.04,0.02,4.6,8.14,27729.1927,541.36,200.01
31,Czech Republic,41.17,145.72,19.09,20.51,8.15,251.49,0.34,11.91,8.25,13.17,11.66,10.71,195.2,278.04,92.67,17.67,4.79,6.13,0.82,0.37,2.47,4.37,19916.0194,442.8,317.29
32,Denmark,24.87,88.03,26.75,28.73,28.46,878.22,0.92,32.22,16.49,26.33,15.35,14.1,277.3,394.99,98,18.69,4.96,6.35,0.03,0.01,5.94,10.51,61191.1937,1053.53,444.65
33,Ecuador,14.44,51.11,21.85,23.47,16.61,512.55,0.44,15.41,5.17,8.25,8.01,7.36,139.6,198.85,39.19,7.47,45.07,57.68,0,0,0.98,1.73,6056.33083,610.79,273.09
34,Egypt,0.02,0.07,14.43,15.5,12.88,397.45,1.58,55.33,21.46,34.26,4.59,4.22,59.46,84.69,146.83,28,39.77,50.89,0.64,0.29,1.82,3.22,3264.37879,502.61,171.31
35,El Salvador,3.23,11.43,19.84,21.31,5.95,183.6,0.02,0.7,6.25,9.98,9.51,8.74,124.34,177.11,28.19,5.38,10.53,13.48,0.8,0.36,1.1,1.95,3509.53628,227.02,207.02
36,Estonia,29.68,105.05,21.11,22.68,7.19,221.87,0.44,15.41,12.78,20.41,12.66,11.63,284.85,405.74,89.36,17.04,2.56,3.28,0.04,0.02,4.29,7.59,19174.1007,385.42,445.3
37,Ethiopia,0.02,0.07,0.66,0.71,3.61,111.4,1.57,54.98,0.24,0.38,0.36,0.33,44.14,62.87,31.26,5.96,2.25,2.88,0.45,0.2,1.21,2.14,499.531572,167.54,74.38
38,Fiji,4.31,15.26,20.26,21.76,8.96,276.49,5.9,206.62,35.01,55.9,6.44,5.92,40.2,57.26,84.22,16.06,45.62,58.38,0.3,0.14,1.3,2.3,4840.69372,576.03,140.06
39,Finland,36.14,127.92,19.87,21.34,19.22,593.09,0.53,18.56,33.8,53.97,9.55,8.77,430.76,613.57,81.99,15.64,4.42,5.66,0.08,0.04,3.43,6.07,49878.0432,814.88,649.75
40,France,33.05,116.98,22.93,24.63,23.81,734.73,3.28,114.87,22.91,36.58,13.13,12.06,241.31,343.72,108.43,20.68,4.88,6.24,0.05,0.02,5.39,9.54,42592.9341,1027.79,392.26
41,French Polynesia,14.75,52.21,49.55,53.23,30.9,953.51,2.83,99.11,38.95,62.19,8.75,8.04,93.56,133.27,68.67,13.1,35.59,45.54,0.77,0.35,2.34,4.14,20100,1220.25,204.44
42,Gambia,0.18,0.64,2.66,2.86,2.16,66.65,0.71,24.86,23.13,36.93,0.99,0.91,45.71,65.11,37.91,7.23,61.84,79.14,0,0,5.27,9.33,700.514972,131.94,161.72
43,Georgia,8.93,31.61,12.28,13.19,6.04,186.38,0.63,22.06,10.42,16.64,6.12,5.62,149.26,212.61,163.43,31.17,2.64,3.38,0,0,2.47,4.37,4623.72955,269.88,257.15
44,Germany,51.81,183.38,17.75,19.07,13.16,406.09,0.73,25.56,11.16,17.82,12.2,11.21,258.7,368.49,83.41,15.91,3.34,4.27,0.88,0.4,7.96,14.09,46285.7641,651.92,414.37
45,Ghana,1.36,4.81,8.63,9.27,1.09,33.64,1.74,60.93,26.05,41.59,1.21,1.11,9.08,12.93,14.45,2.76,32.03,40.99,0.01,0,5.56,9.84,2378.15951,150.24,67.63
46,Greece,28.31,100.2,15.74,16.91,16.1,496.81,12.47,436.7,14.42,23.02,10.13,9.31,255.26,363.59,124.04,23.65,6.64,8.5,0.02,0.01,10.5,18.59,21874.8195,1073.64,423.65
47,Grenada,11.52,40.78,43.51,46.74,3.46,106.77,1.25,43.77,27.95,44.63,10.34,9.5,86.88,123.75,59.59,11.36,9.56,12.23,0.01,0,0.18,0.32,7789.77638,282.69,157.16
48,Guatemala,4.85,17.17,16.45,17.67,5.6,172.8,0.23,8.05,1.08,1.72,14.61,13.42,46.6,66.38,35.9,6.85,5.66,7.24,0.32,0.14,2,3.54,3452.922,217.41,97.57
49,Guinea,0.16,0.57,1.83,1.97,6.26,193.17,1.6,56.03,9.18,14.66,1.95,1.79,20.62,29.37,18.55,3.54,97.12,124.28,0,0,4.14,7.33,769.003943,266.4,166.31
50,Honduras,6.48,22.94,20.29,21.8,7.19,221.87,0.04,1.4,2.7,4.31,5.19,4.77,91.33,130.09,37.36,7.12,14.42,18.45,0.01,0,0.75,1.33,2102.59317,272.32,161.76
51,Hong Kong SAR. China,67.11,237.54,54.86,58.93,25.82,796.75,2.22,77.74,42.44,67.76,14.5,13.32,105.85,150.77,53.14,10.13,43.48,55.64,2.79,1.26,13.81,24.44,38403.7777,1238.72,255.56
52,Hungary,34.93,123.63,23.78,25.54,4.96,153.06,0.11,3.85,4.93,7.87,12.45,11.44,159.05,226.55,109.98,20.97,2.15,2.75,0.01,0,0.64,1.13,13687.2461,313.95,262.84
53,Iceland,21.69,76.77,26.87,28.86,13.36,412.26,21.12,739.62,74.41,118.81,8.24,7.57,225.82,321.66,72.92,13.91,3.89,4.98,0.11,0.05,3.88,6.87,49522.237,1376.32,355.04
54,India,0.28,0.99,1.88,2.02,0.81,24.99,0.58,20.31,4.71,7.52,2.58,2.37,84.5,120.36,60.56,11.55,69.49,88.93,0.39,0.18,1.92,3.4,1449.60591,55.83,226.79
55,Indonesia,2.98,10.55,7.5,8.06,2.59,79.92,0.46,16.11,25.65,40.95,4.88,4.48,14.82,21.11,25.45,4.85,134.62,172.27,1.12,0.5,4.92,8.71,3623.91158,155.59,211.92
56,Iran,0,0,25.38,27.26,3.58,110.47,3.69,129.22,9.8,15.65,7.7,7.07,46.69,66.51,153.31,29.24,29.95,38.33,0,0,12.16,21.52,6111.44061,282.6,162.67
57,Ireland,32.4,114.68,26.26,28.21,22.35,689.67,4.1,143.58,17.39,27.77,8.96,8.23,291.86,415.73,107.98,20.59,3,3.84,0.25,0.11,4.1,7.26,51590.1884,1003.91,455.76
